"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年7月30日","7,952.5","7,927.6","7,983.1","7,923.4","145.34M","-0.46%"
"2019年7月29日","7,989.1","8,010.1","8,010.1","7,940.0","166.74M","-0.35%"
"2019年7月26日","8,017.0","7,992.1","8,027.2","7,986.7","166.61M","1.10%"
"2019年7月25日","7,929.9","7,979.1","7,984.0","7,921.2","176.53M","-1.01%"
"2019年7月24日","8,010.6","7,928.8","8,010.8","7,927.0","169.25M","0.70%"
"2019年7月23日","7,954.6","7,946.1","7,955.1","7,895.0","138.29M","0.63%"
"2019年7月22日","7,905.1","7,862.4","7,918.5","7,862.3","149.00M","0.90%"
"2019年7月19日","7,834.9","7,944.9","7,950.2","7,832.4","177.80M","-0.88%"
"2019年7月18日","7,904.1","7,850.1","7,912.3","7,827.5","156.44M","0.19%"
"2019年7月17日","7,888.8","7,927.9","7,941.1","7,888.0","144.40M","-0.48%"
"2019年7月16日","7,927.1","7,958.4","7,965.8","7,904.9","139.65M","-0.50%"
"2019年7月15日","7,966.9","7,961.1","7,969.8","7,940.5","149.41M","0.30%"
"2019年7月12日","7,943.2","7,908.6","7,944.1","7,900.4","178.33M","0.59%"
"2019年7月11日","7,896.8","7,918.6","7,934.6","7,873.2","149.72M","-0.08%"
"2019年7月10日","7,903.4","7,869.7","7,923.9","7,858.7","165.08M","0.98%"
"2019年7月9日","7,826.9","7,748.3","7,833.9","7,748.2","146.88M","0.53%"
"2019年7月8日","7,785.8","7,790.5","7,792.2","7,756.1","143.85M","-0.71%"
"2019年7月5日","7,841.3","7,806.1","7,854.7","7,774.6","125.48M","-0.79%"
"2019年7月4日","7,904.0","7,890.3","7,908.1","7,881.3","-","0.59%"
"2019年7月3日","7,857.7","7,819.1","7,857.7","7,811.3","111.14M","0.74%"
"2019年7月2日","7,799.8","7,763.0","7,800.5","7,746.0","139.65M","0.41%"
"2019年7月1日","7,768.1","7,816.6","7,820.8","7,735.7","182.63M","1.27%"
"2019年6月28日","7,671.1","7,674.5","7,682.3","7,639.4","318.50M","0.18%"
"2019年6月27日","7,657.0","7,656.7","7,673.0","7,636.7","150.21M","0.39%"
"2019年6月26日","7,627.0","7,642.9","7,688.6","7,616.9","192.60M","0.47%"
"2019年6月25日","7,591.5","7,720.9","7,723.0","7,584.2","173.04M","-1.70%"
"2019年6月24日","7,723.0","7,737.0","7,746.7","7,720.8","153.06M","-0.07%"
"2019年6月21日","7,728.8","7,719.4","7,772.5","7,708.2","385.16M","-0.12%"
"2019年6月20日","7,738.1","7,770.2","7,770.6","7,681.4","170.38M","0.92%"
"2019年6月19日","7,667.7","7,652.5","7,681.6","7,606.3","166.28M","0.42%"
"2019年6月18日","7,635.4","7,606.6","7,689.1","7,595.6","197.02M","1.45%"
"2019年6月17日","7,526.5","7,500.3","7,547.0","7,492.2","147.03M","0.63%"
"2019年6月14日","7,479.1","7,476.5","7,500.7","7,454.9","152.29M","-0.42%"
"2019年6月13日","7,510.7","7,500.9","7,530.9","7,487.1","140.05M","0.51%"
"2019年6月12日","7,472.3","7,493.5","7,507.5","7,459.2","141.90M","-0.55%"
